,discipline,SPMDIR,PARCOACH-static,PARCOACH-dynamic,RMASanitizer-NoOpt,MUST-TSan
LocalConcurrency-lockallflushlocal-get_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-get_put-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockallflushlocal-get_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-get_rget-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockallflushlocal-get_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-get_rput-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockallflushlocal-put_bufwrite-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockallflushlocal-put_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockallflushlocal-put_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-raccumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-raccumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-raccumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_bufread-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_put-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rget_rput-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rput_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rput_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockallflushlocal-rput_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-accumulate_get-001.c,RMA,TP,FN,TP,TP,FN
LocalConcurrency-lockflush-accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-compare_and_swap_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-compare_and_swap_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-compare_and_swap_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-fetch_and_op_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-fetch_and_op_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-fetch_and_op_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_accumulate-001.c,RMA,TP,FN,TP,TP,FN
LocalConcurrency-lockflush-get_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_bufread-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflush-get_bufwrite-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflush-get_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockflush-get_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_put-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockflush-get_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_rget-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflush-get_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-get_rput-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflush-put_bufwrite-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflush-put_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockflush-put_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-raccumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-raccumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-raccumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_bufread-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_put-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rget_rput-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rput_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rput_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflush-rput_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-accumulate_get-001.c,RMA,TP,FN,TP,TP,FN
LocalConcurrency-lockflushlocal-accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-compare_and_swap_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-compare_and_swap_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-compare_and_swap_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-fetch_and_op_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-fetch_and_op_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-fetch_and_op_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_accumulate-001.c,RMA,TP,FN,TP,TP,FN
LocalConcurrency-lockflushlocal-get_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_bufread-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflushlocal-get_bufwrite-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflushlocal-get_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockflushlocal-get_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_put-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockflushlocal-get_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_rget-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflushlocal-get_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-get_rput-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflushlocal-put_bufwrite-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockflushlocal-put_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockflushlocal-put_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-raccumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-raccumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-raccumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_bufread-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_put-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rget_rput-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rput_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rput_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockflushlocal-rput_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-accumulate_get-001.c,RMA,TP,FN,TP,TP,FN
LocalConcurrency-lockunlock-accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-compare_and_swap_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-compare_and_swap_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-compare_and_swap_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-fetch_and_op_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-fetch_and_op_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-fetch_and_op_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_accumulate-001.c,RMA,TP,FN,TP,TP,FN
LocalConcurrency-lockunlock-get_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_bufread-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockunlock-get_bufwrite-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockunlock-get_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockunlock-get_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_put-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockunlock-get_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_rget-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockunlock-get_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-get_rput-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockunlock-put_bufwrite-001.c,RMA,TP,TP,FN,TP,FN
LocalConcurrency-lockunlock-put_get-001.c,RMA,TP,TP,TP,TP,FN
LocalConcurrency-lockunlock-put_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-raccumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-raccumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-raccumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_bufread-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_put-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rget_rput-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rput_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rput_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-lockunlock-rput_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-raccumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-raccumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-raccumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_accumulate_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_accumulate_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_accumulate_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_bufread-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_compare_and_swap-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_fetch_and_op-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_get_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_put-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_raccumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_rget-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_rget_accumulate-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rget_rput-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rput_bufwrite-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rput_get-001.c,RMA,TP,FN,FN,TP,FN
LocalConcurrency-rmarequest-rput_rget-001.c,RMA,TP,FN,FN,TP,FN
Correct-mpi_bsend-001.c,P2P,TN,TN,TN,TO,TN
Correct-mpi_bsend_init-001.c,P2P,TN,TN,TN,TO,TN
Correct-mpi_ibsend-001.c,P2P,TN,TN,TN,TO,TN
Correct-mpi_imrecv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_irecv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_irsend-001.c,P2P,TN,TN,TN,TO,TN
Correct-mpi_isend-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_issend-001.c,P2P,TN,TN,TN,TO,TN
Correct-mpi_mrecv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_precv_init-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_psend_init-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_recv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_recv_init-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_rsend-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_rsend_init-001.c,P2P,TN,TN,TN,TO,TN
Correct-mpi_send-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_send_init-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_ssend-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_ssend_init-001.c,P2P,TN,TN,TN,TO,TN
LocalConcurrency-receive-mpi_imrecv-001.c,P2P,TP,FN,FN,FN,FN
LocalConcurrency-receive-mpi_irecv-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-receive-mpi_precv_init-001.c,P2P,TP,FN,FN,FN,FN
LocalConcurrency-receive-mpi_recv_init-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_bsend_init-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_ibsend-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_irsend-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_isend-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_issend-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_psend_init-001.c,P2P,TP,FN,FN,FN,FN
LocalConcurrency-send-mpi_rsend_init-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_send_init-001.c,P2P,TP,FN,FN,TO,TP
LocalConcurrency-send-mpi_ssend_init-001.c,P2P,TP,FN,FN,TO,TP
Correct-mpi_allgather-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_allgather-mpi_allgather-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_allreduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_allreduce-mpi_allreduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_alltoall-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_alltoall-mpi_alltoall-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_barrier-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_barrier-mpi_barrier-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_bcast-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_bcast-mpi_bcast-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_cart_create-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_cart_create-mpi_cart_get-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_exscan-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_exscan-mpi_exscan-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_gather-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_gather-mpi_gather-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_iallreduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_iallreduce-mpi_iallreduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ialltoall-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ialltoall-mpi_ialltoall-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ibarrier-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ibarrier-mpi_ibarrier-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ibcast-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ibcast-mpi_ibcast-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_igather-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_igather-mpi_igather-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ireduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_ireduce-mpi_ireduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_iscan-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_iscan-mpi_iscan-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_iscatter-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_iscatter-mpi_iscatter-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_reduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_reduce-mpi_reduce-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_reduce_scatter_block-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_reduce_scatter_block-mpi_reduce_scatter_block-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_scan-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_scan-mpi_scan-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_scatter-001.c,COLL,TN,TN,TN,TN,TN
Correct-mpi_scatter-mpi_scatter-001.c,COLL,TN,TN,TN,TN,TN
LocalConcurrency-mpi_iallreduce-001.c,COLL,TP,FN,FN,TO,TP
LocalConcurrency-mpi_ialltoall-001.c,COLL,TP,FN,FN,TO,TP
LocalConcurrency-mpi_ibcast-001.c,COLL,TP,FN,FN,TO,TP
LocalConcurrency-mpi_igather-001.c,COLL,TP,FN,FN,TO,TP
LocalConcurrency-mpi_ireduce-001.c,COLL,TP,FN,FN,TO,TP
LocalConcurrency-mpi_iscan-001.c,COLL,TP,FN,FN,TO,TP
LocalConcurrency-mpi_iscatter-001.c,COLL,TP,FN,FN,TO,TP
